Heparin	indication	D001281
Gemifloxacin	indication	D001424
Everolimus	indication	D002292
Peginterferon alfa-2a	indication	D008545
Arzoxifene	indication	D004715
Droperidol	indication	D014839
Omeprazole	indication	D034721
Trimethoprim	indication	D003556
Betamethasone	indication	D005767
Prednisone	indication	D002062
Triprolidine	indication	D000799
Amphetamine	indication	D009290
Sodium stibogluconate	indication	D007896
Hydralazine	indication	D004461
Edrophonium chloride	indication	Q000633
Triamcinolone	indication	D006967
Betamethasone	indication	D014235
Insulin	indication	D003920
Ibuprofen	indication	D010003
Amitriptyline	indication	D010146
Hydrocortisone	indication	D001249
Tropisetron	indication	D014839
Cinacalcet	indication	D006934
Bleomycin sulfate	indication	D014132
Valsartan	indication	D003324
Hydrocortisone	indication	D003424
Ramipril	indication	D003643
Ciprofloxacin	indication	D003967
Indacaterol maleate	indication	D004646
Diclofenac	indication	D010003
Triamterene	indication	D004487
Penicillin V	indication	D012213
Gamma Hydroxybutyric Acid	indication	D000437
Infliximab	indication	D015535
Brivaracetam	indication	D009437
Tipifarnib	indication	D007951
Dimethyl fumarate	indication	D009103
Duloxetine	indication	D009437
Tramadol	indication	D010146
Ethacrynic acid	indication	D017093
Loteprednol Etabonate	indication	D003233
Pralidoxime	indication	D009157
Topiramate	indication	D008881
Diazepam	indication	D007319
Levofloxacin	indication	D006190
Pseudoephedrine	indication	D010033
Cholecalciferol	indication	D010024
Edoxaban	indication	D054556
Theophylline	indication	D004646
SC144	indication	D009369
Filgrastim	indication	D009503
Etoposide	indication	D007945
Methotrexate	indication	D011565
Vitamin D	indication	D006996
Interferon alfa-2a	indication	D007943
Venlafaxine	indication	D016584
Sertraline	indication	D016584
Clomipramine	indication	D009771
Montelukast	indication	D001249
Idarubicin	indication	D015470
Loratadine	indication	D065631
Raclopride	indication	D012559
Pseudoephedrine	indication	D012220
Gemcitabine	indication	D002289
Paroxetine	indication	D003704
Neomycin	indication	D010032
Cilostazol	indication	D007383
Gemfibrozil	indication	D010195
Caffeine	indication	D007024
Pitavastatin	indication	D050171
Spironolactone	indication	D007008
Ixabepilone	indication	D008175
Sulfisoxazole	indication	D001424
Lamivudine	indication	D006509
Prednisone	indication	D029502
Arformoterol	indication	D001991
Ketoconazole	indication	D003047
Hydrochlorothiazide	indication	D006333
