CA2D3	GeneExpression	9606.ENSP00000419101
SCN1B	GeneExpression	9606.ENSP00000396915
SC6A8	GeneExpression	9606.ENSP00000253122
5HT2C	GeneExpression	9606.ENSP00000276198
V2R	GeneExpression	9606.ENSP00000338072
VTNC	GeneExpression	9606.ENSP00000226218
ACM3	GeneExpression	9606.ENSP00000255380
TNFA	GeneExpression	9606.ENSP00000398698
5HT2B	GeneExpression	9606.ENSP00000258400
PPARG	GeneExpression	9606.ENSP00000287820
GRIK1	GeneExpression	9606.ENSP00000382791
NRP1	GeneExpression	9606.ENSP00000265371
FAAH1	GeneExpression	9606.ENSP00000243167
A2MG	GeneExpression	9606.ENSP00000323929
INGR1	GeneExpression	9606.ENSP00000356713
RXRB	GeneExpression	9606.ENSP00000363812
VGFR2	GeneExpression	9606.ENSP00000263923
CAH1	GeneExpression	9606.ENSP00000256119
UPAR	GeneExpression	9606.ENSP00000339328
CHD1	GeneExpression	9606.ENSP00000284049
ADK	GeneExpression	9606.ENSP00000286621
GBRR2	GeneExpression	9606.ENSP00000386029
NMDE2	GeneExpression	9606.ENSP00000279593
CAC1S	GeneExpression	9606.ENSP00000355192
GGPPS	GeneExpression	9606.ENSP00000282841
INGR2	GeneExpression	9606.ENSP00000290219
CDK7	GeneExpression	9606.ENSP00000256443
CAH4	GeneExpression	9606.ENSP00000300900
CACB4	GeneExpression	9606.ENSP00000438949
IMDH1	GeneExpression	9606.ENSP00000345096
HBA	GeneExpression	9606.ENSP00000322421
ELNE	GeneExpression	9606.ENSP00000263621
RIR1	GeneExpression	9606.ENSP00000300738
INSR	GeneExpression	9606.ENSP00000303830
XCT	GeneExpression	9606.ENSP00000280612
MMAA	GeneExpression	9606.ENSP00000281317
TOP2B	GeneExpression	9606.ENSP00000396704
FGFR3	GeneExpression	9606.ENSP00000339824
NMD3A	GeneExpression	9606.ENSP00000355155
NEUR1	GeneExpression	9606.ENSP00000364782
CAMLG	GeneExpression	9606.ENSP00000297156
MGMT	GeneExpression	9606.ENSP00000302111
PSB10	GeneExpression	9606.ENSP00000351314
PF2R	GeneExpression	9606.ENSP00000359793
CP19A	GeneExpression	9606.ENSP00000260433
DPOLB	GeneExpression	9606.ENSP00000265421
SCNNB	GeneExpression	9606.ENSP00000345751
ACM1	GeneExpression	9606.ENSP00000306490
IMPA2	GeneExpression	9606.ENSP00000269159
DPOLA	GeneExpression	9606.ENSP00000368349
TPOR	GeneExpression	9606.ENSP00000361548
DRD5	GeneExpression	9606.ENSP00000306129
FA8	GeneExpression	9606.ENSP00000353393
MTHR	GeneExpression	9606.ENSP00000365775
VKOR1	GeneExpression	9606.ENSP00000378426
DNLI1	GeneExpression	9606.ENSP00000263274
TRBM	GeneExpression	9606.ENSP00000366307
AT2C1	GeneExpression	9606.ENSP00000376914
HDAC8	GeneExpression	9606.ENSP00000362674
CA2D1	GeneExpression	9606.ENSP00000349320
AL1A2	GeneExpression	9606.ENSP00000249750
SDC2	GeneExpression	9606.ENSP00000307046
KCMB1	GeneExpression	9606.ENSP00000274629
TRXR1	GeneExpression	9606.ENSP00000434516
RAI3	GeneExpression	9606.ENSP00000014914
AHR	GeneExpression	9606.ENSP00000242057
ABL1	GeneExpression	9606.ENSP00000361423
HRH4	GeneExpression	9606.ENSP00000256906
PA24A	GeneExpression	9606.ENSP00000356436
FA5	GeneExpression	9606.ENSP00000356771
KPCA	GeneExpression	9606.ENSP00000408695
FCG2C	GeneExpression	9606.ENSP00000351497
FCG2B	GeneExpression	9606.ENSP00000351497
5HT1B	GeneExpression	9606.ENSP00000358963
NEU1	GeneExpression	9606.ENSP00000217386
TNF11	GeneExpression	9606.ENSP00000239849
NNMT	GeneExpression	9606.ENSP00000299964
HDAC1	GeneExpression	9606.ENSP00000362649
CP27B	GeneExpression	9606.ENSP00000228606
ADRB1	GeneExpression	9606.ENSP00000358301
DRD2	GeneExpression	9606.ENSP00000354859
KCNN3	GeneExpression	9606.ENSP00000271915
AK1C3	GeneExpression	9606.ENSP00000369927
KCRM	GeneExpression	9606.ENSP00000221476
IL2RA	GeneExpression	9606.ENSP00000369293
PTPRS	GeneExpression	9606.ENSP00000349932
SCNAA	GeneExpression	9606.ENSP00000390600
ODO1	GeneExpression	9606.ENSP00000222673
DDC	GeneExpression	9606.ENSP00000350616
VDR	GeneExpression	9606.ENSP00000447173
RENI	GeneExpression	9606.ENSP00000272190
TYSY	GeneExpression	9606.ENSP00000315644
AOFA	GeneExpression	9606.ENSP00000340684
NU1M	GeneExpression	9606.ENSP00000354687
MAP4	GeneExpression	9606.ENSP00000353375
STA5B	GeneExpression	9606.ENSP00000293328
ITK	GeneExpression	9606.ENSP00000398655
ACHA4	GeneExpression	9606.ENSP00000359285
MP2K1	GeneExpression	9606.ENSP00000302486
PDE11	GeneExpression	9606.ENSP00000286063
PPARA	GeneExpression	9606.ENSP00000262735
C1QB	GeneExpression	9606.ENSP00000313967
CD86	GeneExpression	9606.ENSP00000332049
KEAP1	GeneExpression	9606.ENSP00000171111
TAU	GeneExpression	9606.ENSP00000340820
PLMN	GeneExpression	9606.ENSP00000308938
V1BR	GeneExpression	9606.ENSP00000356094
PDE1A	GeneExpression	9606.ENSP00000331574
YES	GeneExpression	9606.ENSP00000324740
KCRS	GeneExpression	9606.ENSP00000254035
KCRB	GeneExpression	9606.ENSP00000299198
HMDH	GeneExpression	9606.ENSP00000287936
PSB2	GeneExpression	9606.ENSP00000362334
GRIA1	GeneExpression	9606.ENSP00000285900
