Loading files... 
  Starting yago2-train.txt
  Finished yago2-train.txt, still running: 0
Loaded 848354 facts in 20.32 s using 524 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  <imports>  ?b   => ?a  <exports>  ?b	0.081140351	0.12012987	0.133093525	37	308	278	?b	0.0	0.0	0.0
?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	0.029796132	0.013103448	0.296360485	171	13050	577	?a	0.0	0.0	0.0
?a  <wasBornIn>  ?b   => ?a  <isLeaderOf>  ?b	0.013765464	0.001577067	0.164926931	79	50093	479	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	0.107491857	0.107491857	0.147651007	66	614	447	?a	0.0	0.0	0.0
?a  <http://www.w3.org/2000/01/rdf-schema#range>  ?b   => ?a  <http://www.w3.org/2000/01/rdf-schema#domain>  ?b	0.203007519	0.204545455	0.225	27	132	120	?a	0.0	0.0	0.0
?a  <http://www.w3.org/2000/01/rdf-schema#domain>  ?b   => ?a  <http://www.w3.org/2000/01/rdf-schema#range>  ?b	0.204545455	0.203007519	0.225	27	133	120	?a	0.0	0.0	0.0
?a  <isLeaderOf>  ?b   => ?a  <livesIn>  ?b	0.013103448	0.029796132	0.139820114	171	5739	1223	?a	0.0	0.0	0.0
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	0.017011494	0.01124905	0.43444227	222	19735	511	?a	0.0	0.0	0.0
?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	0.047356322	0.012337053	0.218606296	618	50093	2827	?a	0.0	0.0	0.0
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	0.03908046	0.039303329	0.504950495	510	12976	1010	?a	0.0	0.0	0.0
?a  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	0.081884721	0.016880422	0.165434381	179	10604	1082	?a	0.0	0.0	0.0
?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	0.01124905	0.017011494	0.303278689	222	13050	732	?a	0.0	0.0	0.0
?a  <wasBornIn>  ?b   => ?a  <diedIn>  ?b	0.078692678	0.031002336	0.224779273	1553	50093	6909	?a	0.0	0.0	0.0
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.016880422	0.081884721	0.165434381	179	2186	1082	?a	0.0	0.0	0.0
?a  <livesIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.047799697	0.004827586	0.294392523	63	13050	214	?a	0.0	0.0	0.0
?b  <influences>  ?a   => ?a  <hasAcademicAdvisor>  ?b	0.013848817	0.001920922	0.118811881	24	12494	202	?a	0.0	0.0	0.0
?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.039303329	0.03908046	0.365591398	510	13050	1395	?a	0.0	0.0	0.0
?a  <directed>  ?b   => ?a  <produced>  ?b	0.100077494	0.060450032	0.158041958	1808	29909	11440	?b	0.0	0.0	0.0
