Loading files... 
  Starting yago3_mte10-train.tsv
  Finished yago3_mte10-train.tsv, still running: 0
Loaded 1087040 facts in 10.96 s using 345 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  <hasNeighbor>  ?a   => ?a  <hasNeighbor>  ?b	0.996415771	0.996415771	0.998204668	556	558	557	?b	0.0	0.0	0.0
?a  <dealsWith>  ?b   => ?a  <hasNeighbor>  ?b	0.299283154	0.126707132	0.166169154	167	1318	1005	?b	0.0	0.0	0.0
?b  <dealsWith>  ?a   => ?a  <hasNeighbor>  ?b	0.301075269	0.127465857	0.175548589	168	1318	957	?b	0.0	0.0	0.0
?a  <isLocatedIn>  ?b   => ?a  <hasCapital>  ?b	0.388931889	0.011249538	0.23421114	1005	89337	4291	?a	0.0	0.0	0.0
?a  <isLeaderOf>  ?b   => ?a  <livesIn>  ?b	0.022591362	0.070466321	0.2125	68	965	320	?a	0.0	0.0	0.0
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	0.139202658	0.120540852	0.471316085	419	3476	889	?a	0.0	0.0	0.0
?a  <isPoliticianOf>  ?b   => ?a  <livesIn>  ?b	0.028239203	0.038937242	0.284280936	85	2183	299	?a	0.0	0.0	0.0
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	0.034551495	0.011152815	0.244131455	104	9325	426	?a	0.0	0.0	0.0
?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	0.04551495	0.003022881	0.104660046	137	45321	1309	?a	0.0	0.0	0.0
?a  <exports>  ?b   => ?a  <imports>  ?b	0.154822335	0.160526316	0.172804533	61	380	353	?a	0.0	0.0	0.0
?a  <created>  ?b   => ?a  <wroteMusicFor>  ?b	0.092312746	0.080527296	0.125783348	562	6979	4468	?b	0.0	0.0	0.0
